name,starsCount,forksCount,watchersCount,createdAt,description,githubPage,ownedByOrg,owner,language,
comfyanonymous/ComfyUI,55993,5909,405,2023-01-17,"The most powerful and modular diffusion model GUI, api and backend with a graph/nodes interface.",https://github.com/comfyanonymous/ComfyUI,False,comfyanonymous,Python,
FlowiseAI/Flowise,31300,16295,250,2023-03-31,"Drag & drop UI to build your customized LLM flow",https://github.com/FlowiseAI/Flowise,True,FlowiseAI,TypeScript,
jagenjo/litegraph.js,6805,727,138,2013-09-26,"A graph node engine and editor written in Javascript similar to PD or UDK Blueprints, comes with its own editor in HTML5 Canvas2D. The engine can run client side or server side using Node. It allows to export graphs as JSONs to be included in applications independently.",https://github.com/jagenjo/litegraph.js,False,jagenjo,JavaScript,
biolab/orange3,4867,1015,186,2013-02-22,"🍊 :bar_chart: :bulb: Orange: Interactive data analysis",https://github.com/biolab/orange3,True,biolab,Python,
jerosoler/Drawflow,4777,741,74,2020-04-21,"Simple flow library 🖥️🖱️",https://github.com/jerosoler/Drawflow,False,jerosoler,JavaScript,
chaiNNer-org/chaiNNer,4602,283,62,2021-09-07,"A node-based image processing GUI aimed at making chaining image processing tasks easy and customizable. Born as an AI upscaling application, chaiNNer has grown into an extremely flexible and powerful programmatic image processing application.",https://github.com/chaiNNer-org/chaiNNer,True,chaiNNer-org,Python,
samuelmtimbo/unit,3188,64,42,2021-06-09,"Next Generation Visual Programming System",https://github.com/samuelmtimbo/unit,False,samuelmtimbo,TypeScript,
Ironclad/rivet,2758,241,64,2023-04-22,"The open-source visual AI programming environment and TypeScript library",https://github.com/Ironclad/rivet,True,Ironclad,TypeScript,
wonderworks-software/PyFlow,2521,323,93,2018-01-09,"Visual scripting framework for python - https://wonderworks-software.github.io/PyFlow",https://github.com/wonderworks-software/PyFlow,True,wonderworks-software,Python,
ianarawjo/ChainForge,2277,178,30,2023-03-26,"An open-source visual programming environment for battle-testing prompts to LLMs.",https://github.com/ianarawjo/ChainForge,False,ianarawjo,TypeScript,
flydelabs/flyde,1973,48,17,2022-08-29,"🌟 Open-source, visual programming for developers. Includes a VS Code extension, integrates with existing TypeScript code, browser and Node.js.",https://github.com/flydelabs/flyde,True,flydelabs,TypeScript,
laudspeaker/laudspeaker,2195,150,20,2022-10-06,"📢 Laudspeaker is an Open Source Customer Engagement and Product Onboarding Platform. Open Source alternative to  Braze /  One Signal / Customer Io / Appcues / Pendo . Use Laudspeaker to design product onboarding flows and send product and event triggered emails, sms, push and more. ",https://github.com/laudspeaker/laudspeaker,True,laudspeaker,TypeScript,
google/visualblocks,1174,155,23,2023-03-29,"Visual Blocks for ML is a Google visual programming framework that lets you create ML pipelines in a no-code graph editor. You – and your users – can quickly prototype workflows by connecting drag-and-drop ML components, including models, user inputs, processors, and visualizations.",https://github.com/google/visualblocks,True,google,TypeScript,
enso-org/enso,7363,323,87,2016-12-16,"Enso Analytics is a self-service data prep and analysis platform designed for data teams.",https://github.com/enso-org/enso,True,enso-org,Scala,
GraphiteEditor/Graphite,9335,450,67,2020-04-26,"2D vector & raster editor that melds traditional layers & tools with a modern node-based, non-destructive, procedural workflow.",https://github.com/GraphiteEditor/Graphite,True,GraphiteEditor,Rust,
node-red/node-red,19838,3418,532,2013-09-05,"Low-code programming for event-driven applications",https://github.com/node-red/node-red,True,node-red,JavaScript,
JacquesLucke/animation_nodes,2288,342,169,2014-09-28,"Node based visual scripting system designed for motion graphics in Blender.",https://github.com/JacquesLucke/animation_nodes,False,JacquesLucke,Python,
Nelarius/imnodes,2071,253,46,2018-09-22,"A small, dependency-free node editor for dear imgui",https://github.com/Nelarius/imnodes,False,Nelarius,C++,
